Player_Id,Player_Name,Batting_hand,Country_Name,
462,Kuldeep Yadav,Left-handed,Indian,
460,Mustafizur Rahman,Left-handed,Abroad,
459,GS Sandhu,Left-handed,Abroad,
456,K Santokie,Left-handed,Abroad,
229,FY Fazal,Left-handed,Indian,
228,Bipul Sharma,Left-handed,Indian,
450,TP Sudhindra,Left-handed,Indian,
226,S Narwal,Left-handed,Indian,
224,MJ Lumb,Left-handed,Abroad,
29,IK Pathan,Left-handed,Indian,
28,SM Katich,Left-handed,Abroad,
447,P Prasanth,Left-handed,Indian,
445,AA Kazi,Left-handed,Indian,
442,RA Shaikh,Left-handed,Indian,
219,RS Gavaskar,Left-handed,Indian,
216,EJG Morgan,Left-handed,Abroad,
109,JA Morkel,Left-handed,Abroad,
108,S Vidyut,Left-handed,Indian,
431,N Rana,Left-handed,Indian,
429,BB Sran,Left-handed,Indian,
215,YA Abdulla,Left-handed,Indian,
426,UT Khawaja,Left-handed,Abroad,
213,A Uniyal,Left-handed,Indian,
107,SP Fleming,Left-handed,Abroad,
420,RR Pant,Left-handed,Indian,
417,TM Head,Left-handed,Abroad,
210,R McLaren,Left-handed,Abroad,
53,AC Gilchrist,Left-handed,Abroad,
27,Yuvraj Singh,Left-handed,Indian,
413,KH Pandya,Left-handed,Indian,
103,Salman Butt,Left-handed,Abroad,
411,C Munro,Left-handed,Abroad,
410,Ishan Kishan,Left-handed,Indian,
205,Anirudh Singh,Left-handed,Indian,
102,Sohail Tanvir,Left-handed,Abroad,
403,MJ McClenaghan,Left-handed,Abroad,
100,SE Marsh,Left-handed,Abroad,
51,S Chanderpaul,Left-handed,Abroad,
398,J Suchith,Left-handed,Indian,
390,R Tewatia,Left-handed,Indian,
387,BE Hendricks,Left-handed,Abroad,
384,VH Zol,Left-handed,Indian,
98,DNT Zoysa,Left-handed,Abroad,
48,AM Nayar,Left-handed,Indian,
26,KC Sangakkara,Left-handed,Abroad,
24,K Goel,Left-handed,Indian,
380,RR Rossouw,Left-handed,Abroad,
379,BR Dunk,Left-handed,Abroad,
378,MA Starc,Left-handed,Abroad,
376,JDS Neesham,Left-handed,Abroad,
190,M Morkel,Left-handed,Abroad,
374,AR Patel,Left-handed,Indian,
373,NJ Maddinson,Left-handed,Abroad,
372,CJ Anderson,Left-handed,Abroad,
187,DA Warner,Left-handed,Abroad,
369,Sachin Baby,Left-handed,Indian,
186,SB Jakati,Left-handed,Indian,
92,TM Srivastava,Left-handed,Indian,
182,LA Carseldine,Left-handed,Abroad,
357,MG Johnson,Left-handed,Abroad,
355,Q de Kock,Left-handed,Abroad,
353,BJ Rohrer,Left-handed,Abroad,
44,ST Jayasuriya,Left-handed,Abroad,
22,JDP Oram,Left-handed,Abroad,
349,R Rampaul,Left-handed,Abroad,
348,BMAJ Mendis,Left-handed,Abroad,
175,DL Vettori,Left-handed,Abroad,
341,MDKJ Perera,Left-handed,Abroad,
168,RJ Quiney,Left-handed,Abroad,
42,S Dhawan,Left-handed,Indian,
166,KV Sharma,Left-handed,Indian,
162,CH Gayle,Left-handed,Abroad,
323,RJ Peterson,Left-handed,Abroad,
322,P Negi,Left-handed,Indian,
320,DA Miller,Left-handed,Abroad,
160,Kamran Khan,Left-handed,Indian,
83,M Kartik,Left-handed,Indian,
40,G Gambhir,Left-handed,Indian,
21,SK Raina,Left-handed,Indian,
316,GB Hogg,Left-handed,Abroad,
315,SP Narine,Left-handed,Abroad,
314,Ankit Sharma,Left-handed,Indian,
157,JD Ryder,Left-handed,Abroad,
156,T Thushara,Left-handed,Abroad,
79,SS Tiwary,Left-handed,Indian,
154,JP Duminy,Left-handed,Abroad,
152,A Mukund,Left-handed,Indian,
19,MEK Hussey,Left-handed,Abroad,
302,BA Bhatt,Left-handed,Indian,
297,AA Chavan,Left-handed,Indian,
292,CA Ingram,Left-handed,Abroad,
289,AC Blizzard,Left-handed,Abroad,
145,Abdur Razzak,Left-handed,Abroad,
74,GC Smith,Left-handed,Abroad,
18,ML Hayden,Left-handed,Abroad,
287,Harpreet Singh,Left-handed,Indian,
286,AG Murtaza,Left-handed,Indian,
285,TR Birt,Left-handed,Abroad,
283,J Syed Mohammad,Left-handed,Indian,
280,NLTC Perera,Left-handed,Abroad,
140,Iqbal Abdulla,Left-handed,Indian,
277,DH Yagnik,Left-handed,Indian,
276,Shakib Al Hasan,Left-handed,Abroad,
139,LA Pomersbach,Left-handed,Abroad,
275,JEC Franklin,Left-handed,Abroad,
273,SB Wagh,Left-handed,Indian,
138,NK Patel,Left-handed,Indian,
